are_you_a_ds,industry,activities
Maybe,Accounting/Finance,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,I am a student,Analyze data
Yes,Other industry,Analyze data
Yes,I am a student,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Maybe,Accounting/Finance,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
No,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
No,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Academics/Education,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Maybe,I am a student,Analyze data
No,I am a student,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
No,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,I am a student,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Computers/Technology,Analyze data
No,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,I am a student,Analyze data
Yes,I am a student,Analyze data
Maybe,I am a student,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Accounting/Finance,Analyze data
No,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Maybe,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,I am a student,Analyze data
Yes,I am a student,Analyze data
Yes,Accounting/Finance,Analyze data
Maybe,Other industry,Analyze data
No,I am a student,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Academics/Education,Analyze data
Maybe,Computers/Technology,Analyze data
Yes,Accounting/Finance,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
No,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Maybe,Academics/Education,Analyze data
Yes,Computers/Technology,Analyze data
No,Computers/Technology,Analyze data
Maybe,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Yes,I am a student,Analyze data
No,Academics/Education,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Maybe,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,I am a student,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Accounting/Finance,Analyze data
No,Accounting/Finance,Analyze data
Yes,Computers/Technology,Analyze data
No,I am a student,Analyze data
Maybe,Other industry,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Maybe,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Maybe,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Academics/Education,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Maybe,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Academics/Education,Analyze data
Maybe,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
No,I am a student,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
No,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
No,Online Service/Internet-based Services,Analyze data
Yes,Academics/Education,Analyze data
Yes,Computers/Technology,Analyze data
Yes,I am a student,Analyze data
Yes,Computers/Technology,Analyze data
Yes,I am a student,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Computers/Technology,Analyze data
Maybe,Other industry,Analyze data
Yes,Academics/Education,Analyze data
No,Other industry,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
No,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
No,Computers/Technology,Analyze data
Yes,Academics/Education,Analyze data
No,Computers/Technology,Analyze data
No,I am a student,Analyze data
No,Accounting/Finance,Analyze data
Maybe,Academics/Education,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Computers/Technology,Analyze data
Maybe,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Computers/Technology,Analyze data
Yes,I am a student,Analyze data
No,Online Service/Internet-based Services,Analyze data
Yes,I am a student,Analyze data
Maybe,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
Maybe,Other industry,Analyze data
Maybe,Other industry,Analyze data
No,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Online Service/Internet-based Services,Analyze data
Maybe,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Accounting/Finance,Analyze data
No,Other industry,Analyze data
Yes,Academics/Education,Analyze data
No,Online Service/Internet-based Services,Analyze data
No,Computers/Technology,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
Yes,I am a student,Analyze data
No,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,I am a student,Analyze data
Yes,Academics/Education,Analyze data
Yes,Accounting/Finance,Analyze data
Maybe,Accounting/Finance,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Academics/Education,Analyze data
Yes,Computers/Technology,Analyze data
No,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Maybe,Computers/Technology,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Yes,Academics/Education,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Academics/Education,Analyze data
No,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,I am a student,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
Yes,I am a student,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
No,Other industry,Analyze data
No,Online Service/Internet-based Services,Analyze data
Yes,Accounting/Finance,Analyze data
Maybe,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
No,Academics/Education,Analyze data
No,Other industry,Analyze data
Yes,I am a student,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,I am a student,Analyze data
Maybe,Other industry,Analyze data
Maybe,Other industry,Analyze data
No,Other industry,Analyze data
Maybe,I am a student,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Accounting/Finance,Analyze data
Maybe,I am a student,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Other industry,Analyze data
Maybe,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,I am a student,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
Maybe,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Other industry,Analyze data
No,Academics/Education,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
Yes,I am a student,Analyze data
Maybe,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
No,I am a student,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,I am a student,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,I am a student,Analyze data
Yes,Academics/Education,Analyze data
Maybe,Computers/Technology,Analyze data
Maybe,Online Service/Internet-based Services,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
No,I am a student,Analyze data
No,Computers/Technology,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Other industry,Analyze data
Maybe,I am a student,Analyze data
Maybe,Other industry,Analyze data
Yes,Accounting/Finance,Analyze data
No,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Maybe,I am a student,Analyze data
No,Academics/Education,Analyze data
Maybe,Computers/Technology,Analyze data
No,I am a student,Analyze data
No,Other industry,Analyze data
No,Academics/Education,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Maybe,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Academics/Education,Analyze data
Yes,Computers/Technology,Analyze data
Maybe,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Accounting/Finance,Analyze data
Maybe,Accounting/Finance,Analyze data
No,I am a student,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
Yes,Academics/Education,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
No,Other industry,Analyze data
Yes,Other industry,Analyze data
Maybe,Other industry,Analyze data
No,Accounting/Finance,Analyze data
Yes,Computers/Technology,Analyze data
No,Other industry,Analyze data
No,I am a student,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Other industry,Analyze data
Yes,Other industry,Analyze data
Yes,Online Service/Internet-based Services,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Accounting/Finance,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Computers/Technology,Analyze data
Yes,Academics/Education,Analyze data
Maybe,Other industry,Analyze data
